device: cuda
train=107718  valid=11973  test=120363

=== single model ===
/home/nagle/miniconda3/envs/toehold_gpu/lib/python3.10/site-packages/torch/nn/modules/lazy.py:178: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
  [member3] epoch  88  val_pearson=0.8957
  [member3] epoch  89  val_pearson=0.8957
  [member3] epoch  90  val_pearson=0.8964
  [member3] epoch  91  val_pearson=0.8962
  [member3] epoch  92  val_pearson=0.8961
  [member3] decay LR -> 8.10e-06
  [member3] epoch  93  val_pearson=0.8962
  [member3] epoch  94  val_pearson=0.8964
  [member3] epoch  95  val_pearson=0.8964
  [member3] epoch  96  val_pearson=0.8964
  [member3] epoch  97  val_pearson=0.8960
  [member3] epoch  98  val_pearson=0.8959
  [member3] early stop at epoch 98
  member  3 (seed 46): best val pearson = 0.8974
  [member4] epoch   1  val_pearson=0.8312 *
  [member4] epoch   2  val_pearson=0.8518 *
  [member4] epoch   3  val_pearson=0.8663 *
  [member4] epoch   4  val_pearson=0.8672 *
  [member4] epoch   5  val_pearson=0.8678 *
  [member4] epoch   6  val_pearson=0.8685 *
  [member4] epoch   7  val_pearson=0.8737 *
  [member4] epoch   8  val_pearson=0.8761 *
  [member4] epoch   9  val_pearson=0.8767 *
  [member4] epoch  10  val_pearson=0.8776 *
  [member4] epoch  11  val_pearson=0.8806 *
  [member4] epoch  12  val_pearson=0.8817 *
  [member4] epoch  13  val_pearson=0.8846 *
  [member4] epoch  14  val_pearson=0.8849 *
  [member4] epoch  15  val_pearson=0.8823
  [member4] epoch  16  val_pearson=0.8858 *
  [member4] epoch  17  val_pearson=0.8857
  [member4] epoch  18  val_pearson=0.8852
  [member4] epoch  19  val_pearson=0.8850
  [member4] epoch  20  val_pearson=0.8856
  [member4] epoch  21  val_pearson=0.8879 *
  [member4] epoch  22  val_pearson=0.8877
  [member4] epoch  23  val_pearson=0.8897 *
  [member4] epoch  24  val_pearson=0.8858
  [member4] epoch  25  val_pearson=0.8888
